addr_state,issue_d,gdp,gdp_LSFT
CA,04/15/13,56764.61393,127.4353297
CA,05/15/13,56971.05576,120.5898976
CA,06/15/13,57246.94807,119.0996273
CA,07/15/13,57522.84037,121.3368855
CA,08/15/13,57798.73268,126.4676599
CA,09/15/13,58342.25278,142.4808316
CA,10/15/13,58885.77289,175.6341784
CA,11/15/13,59429.29299,224.8463862
CA,12/15/13,59225.55426,264.4012351
CA,01/15/14,59021.81552,278.0643486
CA,02/15/14,58818.07679,266.1089631
CA,03/15/14,59104.19984,244.9576033
CA,04/15/14,59390.32288,226.0554824
CA,05/15/14,59676.44593,208.9647919
CA,06/15/14,59973.12913,193.5958597
CA,07/15/14,60269.81234,182.1240268
CA,08/15/14,60566.49554,174.4350566
CA,09/15/14,60585.62991,161.2647525
CA,10/15/14,60604.76428,154.3172488
CA,11/15/14,60623.89865,156.4737864
CA,12/15/14,60946.61839,180.6239139
CA,01/15/15,61269.33812,199.2400957
CA,02/15/15,61592.05786,209.4297027
CA,03/15/15,62027.10308,212.0031442
CA,04/15/15,62462.14829,222.2914555
CA,05/15/15,62897.19351,239.4763831
CA,06/15/15,62974.68564,250.9522091
CA,07/15/15,63052.17777,258.2714167
CA,08/15/15,63129.6699,262.638353
CA,09/15/15,63272.81165,267.4216373
CA,10/15/15,63415.95341,262.7899492
CA,11/15/15,63559.09516,248.0619293
CA,12/15/15,63702.23691,222.5562182
CA,01/15/16,63845.37867,197.2678174
CA,02/15/16,63988.52042,173.1834185
CA,03/15/16,64131.66217,151.2897139
CA,04/15/16,64274.80393,136.8936071
CO,05/15/06,49036.85,
CO,06/15/06,49283.16702,
CO,07/15/06,49529.48099,
CO,08/15/06,49775.79,
CO,09/15/06,49697.4804,
CO,10/15/06,49619.16584,
CO,11/15/06,49540.85,
CO,12/15/06,49591.10753,
CO,01/15/07,49641.36376,
CO,02/15/07,49691.62,
CO,03/15/07,49991.86499,
CO,04/15/07,50292.10998,
CO,05/15/07,50592.35497,87.00244958
CO,06/15/07,50801.0957,96.78998167
CO,07/15/07,51009.83643,113.2390494
CO,08/15/07,51218.57716,136.556099
CO,09/15/07,51685.66255,175.4644339
CO,10/15/07,52152.74793,216.2653117
CO,11/15/07,52619.83332,255.9620298
CO,12/15/07,52391.76749,268.640812
CO,01/15/08,52163.70166,260.0694979
