addr_state,issue_d,unemp,unemp_LSFT
AK,10/15/14,0.062,-0.000912088
AK,11/15/14,0.065,-0.001164835
AK,12/15/14,0.066,-0.001263736
AK,01/15/15,0.072,-0.00110989
AK,02/15/15,0.074,-0.000593407
AK,03/15/15,0.071,-7.69E-05
AK,04/15/15,0.066,0.00017033
AK,05/15/15,0.063,0.00021978
AK,06/15/15,0.066,0.000263736
AK,07/15/15,0.058,0.00017033
AK,08/15/15,0.056,-0.000225275
AK,09/15/15,0.058,-0.000593407
AK,10/15/15,0.062,-0.000774725
AK,11/15/15,0.065,-0.000857143
AK,12/15/15,0.067,-0.000774725
AK,01/15/16,0.073,-0.000467033
AK,02/15/16,0.077,0.000164835
AK,03/15/16,0.073,0.000714286
AK,04/15/16,0.069,0.001021978
AK,05/15/16,0.066,0.001049451
AK,06/15/16,0.067,0.000994505
AZ,01/15/06,0.045,
AZ,02/15/06,0.044,
AZ,03/15/06,0.042,
AZ,04/15/06,0.041,
AZ,05/15/06,0.04,
AZ,06/15/06,0.045,
AZ,07/15/06,0.046,
AZ,08/15/06,0.046,
AZ,09/15/06,0.043,
AZ,10/15/06,0.039,
AZ,11/15/06,0.038,
AZ,12/15/06,0.036,
AZ,01/15/07,0.041,-0.000434066
AZ,02/15/07,0.037,-0.000483516
AZ,03/15/07,0.036,-0.00056044
AZ,04/15/07,0.035,-0.000703297
AZ,05/15/07,0.034,-0.000879121
AZ,06/15/07,0.038,-0.000923077
AZ,07/15/07,0.04,-0.000697802
AZ,08/15/07,0.041,-0.000373626
AZ,09/15/07,0.04,-5.49E-05
AZ,10/15/07,0.039,0.000148352
AZ,11/15/07,0.04,0.000252747
AZ,12/15/07,0.042,0.000379121
AZ,01/15/08,0.047,0.000571429
AZ,02/15/08,0.045,0.00082967
AZ,03/15/08,0.047,0.000978022
AZ,04/15/08,0.047,0.001032967
AZ,05/15/08,0.054,0.00121978
AZ,06/15/08,0.061,0.001494505
AZ,07/15/08,0.066,0.00193956
AZ,08/15/08,0.072,0.002505495
AZ,09/15/08,0.072,0.002934066
AZ,10/15/08,0.072,0.003153846
AZ,11/15/08,0.074,0.003225275
AZ,12/15/08,0.078,0.003274725
AZ,01/15/09,0.085,0.003423077
AZ,02/15/09,0.086,0.00356044
AZ,03/15/09,0.089,0.003505495
AZ,04/15/09,0.089,0.003285714
AZ,05/15/09,0.093,0.002967033
AZ,06/15/09,0.101,0.002928571
AZ,07/15/09,0.106,0.003065934
AZ,08/15/09,0.11,0.00328022
AZ,09/15/09,0.11,0.003483516
AZ,10/15/09,0.11,0.003478022
AZ,11/15/09,0.107,0.003164835
AZ,12/15/09,0.106,0.002703297
AZ,01/15/10,0.111,0.002384615
AZ,02/15/10,0.107,0.002021978
AZ,03/15/10,0.104,0.001478022
AZ,04/15/10,0.101,0.000851648
AZ,05/15/10,0.1,0.000126374
AZ,06/15/10,0.105,-0.000340659
AZ,07/15/10,0.108,-0.000467033
AZ,08/15/10,0.108,-0.00043956
AZ,09/15/10,0.104,-0.000401099
AZ,10/15/10,0.1,-0.000461538
AZ,11/15/10,0.1,-0.000467033
AZ,12/15/10,0.096,-0.000664835
AZ,01/15/11,0.1,-0.000708791
AZ,02/15/11,0.095,-0.000692308
AZ,03/15/11,0.093,-0.000807692
AZ,04/15/11,0.092,-0.000994505
AZ,05/15/11,0.09,-0.001296703
AZ,06/15/11,0.105,-0.001082418
AZ,07/15/11,0.104,-0.000736264
AZ,08/15/11,0.101,-0.000368132
AZ,09/15/11,0.097,-9.34E-05
AZ,10/15/11,0.092,-7.69E-05
AZ,11/15/11,0.086,-0.000346154
AZ,12/15/11,0.085,-0.000571429
AZ,01/15/12,0.088,-0.000769231
AZ,02/15/12,0.085,-0.000868132
AZ,03/15/12,0.082,-0.001175824
AZ,04/15/12,0.08,-0.001554945
AZ,05/15/12,0.082,-0.001835165
AZ,06/15/12,0.089,-0.001906593
AZ,07/15/12,0.091,-0.00132967
AZ,08/15/12,0.089,-0.00078022
AZ,09/15/12,0.082,-0.000494505
AZ,10/15/12,0.08,-0.000324176
AZ,11/15/12,0.075,-0.000417582
AZ,12/15/12,0.077,-0.000582418
AZ,01/15/13,0.081,-0.000604396
AZ,02/15/13,0.076,-0.000653846
AZ,03/15/13,0.076,-0.000752747
AZ,04/15/13,0.074,-0.000983516
AZ,05/15/13,0.075,-0.001214286
AZ,06/15/13,0.083,-0.001076923
AZ,07/15/13,0.083,-0.000675824
AZ,08/15/13,0.084,-0.000131868
AZ,09/15/13,0.079,0.000208791
AZ,10/15/13,0.077,0.000269231
AZ,11/15/13,0.072,0.000115385
AZ,12/15/13,0.07,-0.000252747
AZ,01/15/14,0.072,-0.000450549
AZ,02/15/14,0.069,-0.000565934
AZ,03/15/14,0.069,-0.000807692
AZ,04/15/14,0.063,-0.001208791
AZ,05/15/14,0.066,-0.001516484
AZ,06/15/14,0.071,-0.001576923
AZ,07/15/14,0.073,-0.001241758
AZ,08/15/14,0.074,-0.000818681
AZ,09/15/14,0.069,-0.000472527
AZ,10/15/14,0.066,-0.000335165
AZ,11/15/14,0.063,-0.000302198
AZ,12/15/14,0.062,-0.000417582
AZ,01/15/15,0.066,-0.000423077
AZ,02/15/15,0.062,-0.000461538
AZ,03/15/15,0.06,-0.000626374
AZ,04/15/15,0.059,-0.000774725
AZ,05/15/15,0.06,-0.001065934
AZ,06/15/15,0.064,-0.001093407
AZ,07/15/15,0.066,-0.000851648
AZ,08/15/15,0.067,-0.000472527
AZ,09/15/15,0.062,-0.000186813
AZ,10/15/15,0.06,-9.34E-05
AZ,11/15/15,0.056,-0.000197802
AZ,12/15/15,0.055,-0.000395604
AZ,01/15/16,0.053,-0.000653846
AZ,02/15/16,0.052,-0.000741758
AZ,03/15/16,0.051,-0.00093956
AZ,04/15/16,0.054,-0.001054945
AZ,05/15/16,0.055,-0.001142857
AZ,06/15/16,0.062,-0.00093956
AR,01/15/06,0.055,
AR,02/15/06,0.055,
AR,03/15/06,0.051,
AR,04/15/06,0.05,
AR,05/15/06,0.052,
AR,06/15/06,0.054,
AR,07/15/06,0.057,
AR,08/15/06,0.052,
AR,09/15/06,0.049,
AR,10/15/06,0.045,
AR,11/15/06,0.049,
AR,12/15/06,0.05,
AR,01/15/07,0.059,-0.000175824
AR,02/15/07,0.058,0.000126374
AR,03/15/07,0.052,0.000214286
AR,04/15/07,0.05,9.89E-05
AR,05/15/07,0.053,4.95E-05
AR,06/15/07,0.056,0.000159341
AR,07/15/07,0.059,0.000423077
AR,08/15/07,0.052,0.000543956
AR,09/15/07,0.051,0.000467033
AR,10/15/07,0.047,0.000148352
AR,11/15/07,0.048,-0.00028022
AR,12/15/07,0.052,-0.00043956
AR,01/15/08,0.057,-0.000412088
AR,02/15/08,0.054,-0.000175824
AR,03/15/08,0.05,-8.24E-05
AR,04/15/08,0.047,-0.000274725
AR,05/15/08,0.051,-0.000384615
AR,06/15/08,0.054,-0.000285714
AR,07/15/08,0.056,-1.10E-05
AR,08/15/08,0.054,0.000313187
AR,09/15/08,0.054,0.000395604
AR,10/15/08,0.054,0.000428571
AR,11/15/08,0.059,0.000456044
AR,12/15/08,0.066,0.000686813
AR,01/15/09,0.08,0.001434066
AR,02/15/09,0.081,0.002252747
AR,03/15/09,0.078,0.002725275
AR,04/15/09,0.075,0.002813187
AR,05/15/09,0.079,0.00278022
AR,06/15/09,0.081,0.002791209
AR,07/15/09,0.082,0.002785714
AR,08/15/09,0.077,0.002538462
AR,09/15/09,0.076,0.002065934
AR,10/15/09,0.076,0.001472527
AR,11/15/09,0.076,0.000758242
AR,12/15/09,0.081,0.00028022
AR,01/15/10,0.09,0.000247253
AR,02/15/10,0.09,0.000620879
AR,03/15/10,0.083,0.000747253
AR,04/15/10,0.078,0.000582418
AR,05/15/10,0.08,0.000368132
AR,06/15/10,0.081,0.000313187
AR,07/15/10,0.084,0.000423077
AR,08/15/10,0.081,0.000456044
AR,09/15/10,0.079,0.000236264
AR,10/15/10,0.076,-0.000131868
AR,11/15/10,0.079,-0.000401099
AR,12/15/10,0.082,-0.000587912
AR,01/15/11,0.095,-0.000186813
AR,02/15/11,0.092,0.000384615
AR,03/15/11,0.086,0.000747253
AR,04/15/11,0.081,0.000697802
AR,05/15/11,0.083,0.000532967
AR,06/15/11,0.086,0.000516484
AR,07/15/11,0.087,0.000538462
AR,08/15/11,0.081,0.000445055
AR,09/15/11,0.079,0.000186813
AR,10/15/11,0.075,-0.000269231
AR,11/15/11,0.074,-0.000851648
AR,12/15/11,0.078,-0.001175824
AR,01/15/12,0.086,-0.001115385
AR,02/15/12,0.082,-0.000708791
AR,03/15/12,0.077,-0.000510989
AR,04/15/12,0.071,-0.000659341
AR,05/15/12,0.074,-0.000818681
AR,06/15/12,0.077,-0.000763736
AR,07/15/12,0.081,-0.000428571
AR,08/15/12,0.075,-0.000225275
AR,09/15/12,0.072,-0.000285714
AR,10/15/12,0.07,-0.00043956
AR,11/15/12,0.069,-0.000730769
AR,12/15/12,0.074,-0.000862637
AR,01/15/13,0.085,-0.000478022
AR,02/15/13,0.08,1.10E-05
AR,03/15/13,0.074,0.000181319
AR,04/15/13,0.071,0.000104396
AR,05/15/13,0.074,-7.14E-05
AR,06/15/13,0.077,-4.95E-05
AR,07/15/13,0.078,0.000104396
AR,08/15/13,0.072,0.000208791
AR,09/15/13,0.069,3.30E-05
AR,10/15/13,0.067,-0.000291209
AR,11/15/13,0.065,-0.000730769
AR,12/15/13,0.068,-0.001082418
AR,01/15/14,0.075,-0.001005495
AR,02/15/14,0.072,-0.00060989
AR,03/15/14,0.066,-0.000532967
AR,04/15/14,0.058,-0.000873626
AR,05/15/14,0.061,-0.001142857
AR,06/15/14,0.062,-0.001208791
AR,07/15/14,0.065,-0.000994505
AR,08/15/14,0.059,-0.000873626
AR,09/15/14,0.056,-0.000978022
AR,10/15/14,0.052,-0.001241758
AR,11/15/14,0.053,-0.001456044
AR,12/15/14,0.056,-0.001571429
AR,01/15/15,0.065,-0.001225275
AR,02/15/15,0.061,-0.000725275
AR,03/15/15,0.057,-0.000395604
AR,04/15/15,0.052,-0.000379121
AR,05/15/15,0.054,-0.000527473
AR,06/15/15,0.055,-0.000505495
AR,07/15/15,0.056,-0.000379121
AR,08/15/15,0.049,-0.000335165
AR,09/15/15,0.046,-0.000532967
AR,10/15/15,0.043,-0.000873626
AR,11/15/15,0.043,-0.001296703
AR,12/15/15,0.046,-0.001532967
AR,01/15/16,0.047,-0.001582418
AR,02/15/16,0.047,-0.001236264
AR,03/15/16,0.04,-0.001175824
AR,04/15/16,0.034,-0.001351648
AR,05/15/16,0.038,-0.001461538
AR,06/15/16,0.042,-0.001285714
CA,01/15/06,0.053,
CA,02/15/06,0.053,
CA,03/15/06,0.052,
CA,04/15/06,0.049,
CA,05/15/06,0.045,
CA,06/15/06,0.049,
CA,07/15/06,0.052,
CA,08/15/06,0.049,
CA,09/15/06,0.046,
CA,10/15/06,0.045,
CA,11/15/06,0.048,
CA,12/15/06,0.047,
CA,01/15/07,0.055,-0.000241758
CA,02/15/07,0.054,4.40E-05
CA,03/15/07,0.052,0.000258242
CA,04/15/07,0.05,0.000373626
CA,05/15/07,0.048,0.000318681
CA,06/15/07,0.053,0.00028022
CA,07/15/07,0.057,0.000483516
CA,08/15/07,0.054,0.000659341
CA,09/15/07,0.053,0.000675824
CA,10/15/07,0.054,0.000587912
CA,11/15/07,0.056,0.000483516
CA,12/15/07,0.059,0.000532967
CA,01/15/08,0.064,0.000648352
CA,02/15/08,0.063,0.000945055
CA,03/15/08,0.066,0.001258242
CA,04/15/08,0.061,0.001263736
CA,05/15/08,0.064,0.001241758
CA,06/15/08,0.07,0.001263736
CA,07/15/08,0.076,0.001554945
CA,08/15/08,0.078,0.00193956
CA,09/15/08,0.077,0.00206044
CA,10/15/08,0.08,0.002115385
CA,11/15/08,0.084,0.002192308
CA,12/15/08,0.09,0.002379121
CA,01/15/09,0.102,0.00289011
CA,02/15/09,0.106,0.003489011
CA,03/15/09,0.109,0.003917582
CA,04/15/09,0.104,0.004043956
CA,05/15/09,0.106,0.003835165
CA,06/15/09,0.113,0.003725275
CA,07/15/09,0.117,0.003708791
CA,08/15/09,0.115,0.003598901
CA,09/15/09,0.114,0.003318681
CA,10/15/09,0.116,0.002868132
CA,11/15/09,0.117,0.002351648
CA,12/15/09,0.118,0.001818681
CA,01/15/10,0.127,0.001626374
CA,02/15/10,0.126,0.001659341
CA,03/15/10,0.126,0.001714286
CA,04/15/10,0.12,0.001576923
CA,05/15/10,0.117,0.001087912
CA,06/15/10,0.12,0.000703297
CA,07/15/10,0.126,0.000708791
CA,08/15/10,0.123,0.000697802
CA,09/15/10,0.119,0.000445055
CA,10/15/10,0.119,0.000131868
CA,11/15/10,0.123,3.30E-17
CA,12/15/10,0.121,-0.000197802
CA,01/15/11,0.126,-0.000214286
CA,02/15/11,0.122,-6.04E-05
CA,03/15/11,0.121,4.95E-05
CA,04/15/11,0.115,-1.10E-05
CA,05/15/11,0.113,-0.000307692
CA,06/15/11,0.12,-0.000450549
CA,07/15/11,0.122,-0.000428571
CA,08/15/11,0.119,-0.000285714
CA,09/15/11,0.115,-0.000351648
